Tsadi-medial,Qof,Samekh,He,Resh,Taw,Tsadi-medial,Qof,Waw,Dalet
Mem,Lamed,Nun-medial,Pe-final,Qof,Tsadi-medial,Pe,Tet,Mem-medial,Tsadi-final
Gimel,Nun-medial,Alef,Nun-final,Qof,Lamed,Samekh,Gimel,Gimel,He
Samekh,Qof,Kaf-final,Alef,Qof,Zayin,Resh,Mem,Shin,Mem-medial
Lamed,Pe-final,Zayin,Ayin,Mem-medial,Kaf-final,Pe,Qof,Mem,Lamed
Taw,Ayin,Mem-medial,Kaf,Kaf-final,Bet,Resh,Gimel,Ayin,Tet
Pe,Tsadi-final,Nun-final,Zayin,Pe,Waw,Tsadi-medial,Mem,Taw,Het
Bet,Lamed,Bet,Ayin,Kaf,Taw,Lamed,Kaf,Ayin,Dalet
Tsadi-medial,Taw,Samekh,Tet,Resh,Pe-final,Nun-final,Mem,Mem,Nun-medial
Nun-final,Gimel,Yod,Nun-final,Ayin,Tsadi-final,Tsadi-final,Shin,Tsadi-medial,Tet
Dalet,Resh,Resh,Yod,Pe,Yod,Samekh,Qof,Samekh,Waw
Tsadi-final,Dalet,Gimel,Pe,Pe,He,Shin,Gimel,Shin,Yod
Resh,Tet,Nun-final,Zayin,Het,Nun-medial,Yod,Zayin,Alef,Mem
Lamed,Pe-final,Tsadi-final,Ayin,Nun-final,Nun-final,Nun-medial,He,Zayin,Dalet
Pe-final,Kaf-final,Alef,Alef,Gimel,Bet,Tsadi-final,Alef,Taw,Dalet
